"tweetid","name","inreplyuserid","createdat","timezone","friendscount","accountcreated","location","userid","xcoordinate","message","screenname","favoritecount","followerscount","inreplytweetid","retweetcount","utcoffset","ycoordinate","dataagent","place","inreplyscreenname","category","annotation"
1383427464639115272,"Mohit Bhutani",-1,"2021-04-17 14:29:45","None",374,"Wed Sep 01 13:47:19 +0000 2010","नई दिल्ली, भारत",185640437,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","mebhutani",0,33,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427463779217420,"Deependra",-1,"2021-04-17 14:29:44","None",85,"Fri Mar 01 09:33:58 +0000 2019","None",1101415269069598720,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","Deepend03620451",0,24,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427456456019968,"Jamie Pedersen",-1,"2021-04-17 14:29:43","None",684,"Thu Mar 24 03:22:54 +0000 2016","None",712842098228105216,"None","RT @donal_de_burca: Fauci admits to LYING about Covid-19 herd immunity threshold to manipulate public support for vaccine, moves goal post…","PedersenJamie",0,734,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427440211419136,"Ram Gurjar",-1,"2021-04-17 14:29:39","None",35,"Mon Mar 08 03:54:44 +0000 2021","None",1368772096306778113,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","RamGurj63650418",0,25,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427428874285057,"Wake Up Mr West",-1,"2021-04-17 14:29:36","None",160,"Thu Apr 24 22:31:35 +0000 2014","None",2462304828,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","capaco21",0,148,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427428874285057,"Wake Up Mr West",-1,"2021-04-17 14:29:36","None",160,"Thu Apr 24 22:31:35 +0000 2014","None",2462304828,"None","RT @CelestineBee: 9/11 was an inside job Man did not land on the moon  Evolution theory is BS  Vaccines are not safe  Taxation IS theft All…","capaco21",0,148,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427430350688257,"Viswanath L",77456101,"2021-04-17 14:29:36","None",213,"Thu May 04 06:08:15 +0000 2017","None",860013181904629760,"None","@RURALINDIA The anecdotal evidence is too much to ignore. It will be instantly cleared if govt gives a vaxed-unvaxed breakup of +ve, serious and fatal cases. But govt is swallowing all data now! But then flu vaccines hav never succeeded. Covid vax is a wild goose chase.","bulletmanV",0,129,1383419646481559558,0,"None","None","JS Listener","None","RURALINDIA","vaccine ",-1
1383427419969757186,"Dr Fath URS. Left Wing & Proud To Be Ex Labour",-1,"2021-04-17 14:29:34","None",2629,"Tue May 02 16:50:50 +0000 2017","North West, England",859450118759735300,"None","RT @banthebbc: VACCINE TRAGEDY ‘Healthy’ dad, 43, paralyzed &amp; unable to speak after getting Johnson &amp; Johnson vaccine as jab pulled due to…","SouthwoldL10",0,2355,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427419969757186,"Dr Fath URS. Left Wing & Proud To Be Ex Labour",-1,"2021-04-17 14:29:34","None",2629,"Tue May 02 16:50:50 +0000 2017","North West, England",859450118759735300,"None","RT @banthebbc: VACCINE TRAGEDY ‘Healthy’ dad, 43, paralyzed &amp; unable to speak after getting Johnson &amp; Johnson vaccine as jab pulled due to…","SouthwoldL10",0,2355,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
1383427420993179649,"Rohit Panwar",-1,"2021-04-17 14:29:34","None",116,"Wed Oct 29 11:56:39 +0000 2014","Faridabad, India",2882024684,"None","RT @RahulGandhi: We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage.   GOI’s mix of arrog…","rohitpanwar9999",0,1227,-1,0,"None","None","JS Listener","None","None","vaccine ",-1
