"tweetid","name","inreplyuserid","createdat","timezone","friendscount","accountcreated","location","userid","xcoordinate","message","screenname","favoritecount","followerscount","inreplytweetid","retweetcount","utcoffset","ycoordinate","dataagent","place","inreplyscreenname","category","annotation"
1383427448453308417,"Susan Rush",-1,"2021-04-17 14:29:41","None",798,"Wed Apr 15 19:28:33 +0000 2009","None",31492395,"None","RT @DrEricDing: 📍Huge—Latin America’s main Sinovac (CoronaVac) vaccine is 67% effective in preventing #COVID19 infection, says 10.5 million…","susieru",0,497,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427448142929934,"rohit upadhyay",43568964,"2021-04-17 14:29:41","None",178,"Sat Mar 05 17:03:10 +0000 2011","Bharat",261287712,"None","@virsanghvi The competencies and qualifications of ministers are well known barring exceptions.informed people know who calls the shots. Which super specialists,on what basis decided for india that there won$q$t be second wave coming for which we need to be prepared along with vaccination.","rohitu25",0,67,1383364718660710400,0,"None","None","JS Listener","None","virsanghvi","vaccine ",1
1383427448142929934,"rohit upadhyay",43568964,"2021-04-17 14:29:41","None",178,"Sat Mar 05 17:03:10 +0000 2011","Bharat",261287712,"None","@virsanghvi The competencies and qualifications of ministers are well known barring exceptions.informed people know who calls the shots. Which super specialists,on what basis decided for india that there won$q$t be second wave coming for which we need to be prepared along with vaccination.","rohitu25",0,67,1383364718660710400,0,"None","None","JS Listener","None","virsanghvi","vaccine ",1
1383427445353631752,"Marlene",-1,"2021-04-17 14:29:40","None",296,"Tue Mar 16 18:45:44 +0000 2010","Metro New Orleans",123634920,"None","First vaccination = done. https://t.co/MG0mFnrG9q","follower9823",0,216,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427445185933318,"Anupam Khemariya",604937872,"2021-04-17 14:29:40","None",53,"Mon Jun 06 15:17:08 +0000 2016","Jabalpur",739838541178490880,"None","@SreeIyer1 @Swamy39 Now let$q$s focus on threat of Covaxin also.People should know the facts about this vaccine as well, irrespective that Dr.Swami has been promoting it.","AnupamKhemariya",0,23,1383424040304406531,0,"None","None","JS Listener","None","SreeIyer1","vaccine ",1
1383427445185933318,"Anupam Khemariya",604937872,"2021-04-17 14:29:40","None",53,"Mon Jun 06 15:17:08 +0000 2016","Jabalpur",739838541178490880,"None","@SreeIyer1 @Swamy39 Now let$q$s focus on threat of Covaxin also.People should know the facts about this vaccine as well, irrespective that Dr.Swami has been promoting it.","AnupamKhemariya",0,23,1383424040304406531,0,"None","None","JS Listener","None","SreeIyer1","vaccine ",1
1383427444317712388,"every human deserves human rights",1043210479253024768,"2021-04-17 14:29:40","None",116,"Sat Jan 23 14:35:45 +0000 2021","Him/his",1352988361993015297,"None","@Cpgaf1 @SenSchumer I agree with pausing the J&amp;J vaccine, but I also think we need to do something about the shootings. Even if we can’t get some gun control, why can’t the right agree to universal healthcare (which they claim prevents these shootings) at least? We would at least be accomplishing","TheBlueBirdSuc2",0,28,1383426360278872080,0,"None","None","JS Listener","None","Cpgaf1","vaccine ",1
1383427442455371786,"Rebecca Ní Riain",-1,"2021-04-17 14:29:39","None",5002,"Mon Aug 02 15:08:21 +0000 2010","Cork, Ireland",173863326,"None","I$q$m over 30 (just) 👀. When the country opens up I$q$ll be socializing. Vaccinate me. https://t.co/4gTo7CprGj","BeckiMeister",0,1177,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427441549475848,"juan la putx",-1,"2021-04-17 14:29:39","None",760,"Sun Apr 05 21:09:51 +0000 2009","Miami, FL",29064684,"None","being the designated driver for my roommates to get their vaccine and casually waiting in the car 😌 https://t.co/LLb3MaiLJU","woahitsjuanito",0,2147,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427439133560838,"Tina Daniels",-1,"2021-04-17 14:29:38","None",63,"Thu Apr 15 18:35:34 +0000 2021","Cincinnati, OH",1382764503826325508,"None","RT @OHPediatricians: Today we joined the Immunization Advocacy Network of Ohio for the (virtual) 9th Immunization Advocacy at the Statehous…","TDanielsMD",0,22,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427436486959109,"Ayobami",-1,"2021-04-17 14:29:38","None",48,"Tue Jun 16 23:10:52 +0000 2020","None",1273030249417244672,"None","RT @NphcdaNG: COVID-19 vaccination is especially important for people with underlying medical conditions such as heart disease, lung diseas…","AyoBTheAlariwo",0,46,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427436637921293,"Lalit Chaprana",-1,"2021-04-17 14:29:38","None",430,"Tue Apr 21 07:20:20 +0000 2020","New Delhi, India",1252497297604136961,"None","RT @suryapsingh_IAS: वैक्सीनेशन के कार्य को प्राइवेट कंपनियों को आउटसोर्स कर घर घर  टीकाकरण (Doorstep Vaccination) किया जाना चाहिए l  कार्य…","lalit_chaprana",0,250,-1,0,"None","None","JS Listener","None","None","vaccine ",1
1383427435945811974,"报告1",13850422,"2021-04-17 14:29:38","None",24,"Fri Dec 11 13:23:03 +0000 2020","None",1337386925829873664,"None","@CNNPolitics China government owns SUCCESSFUL #UnrestrictedBioweapon #COVID19 and UNSUCCESSFUL vaccine, then promotes both to the world for their benefits under the help of #UnrestrictedScientificMisinformation. https://t.co/XkNObGjXLY","mVvLxdrPcNze7ck",0,39,1383414958994509838,0,"None","None","JS Listener","None","CNNPolitics","vaccine ",1
